Date,Open,High,Low,Close,AdjClose,Volume
21-08-2017,0.001731,0.001845,0.001722,0.00176,0.00176,11627730
28-08-2017,0.001764,0.002701,0.001751,0.002153,0.002153,89730630
04-09-2017,0.002169,0.002169,0.001254,0.001395,0.001395,68488510
11-09-2017,0.001397,0.001578,0.000626,0.000853,0.000853,74876590
18-09-2017,0.000853,0.000983,0.000712,0.000892,0.000892,36490930
25-09-2017,0.00089,0.001194,0.000889,0.001084,0.001084,42891910
02-10-2017,0.001075,0.001136,0.000938,0.001056,0.001056,15201470
09-10-2017,0.001056,0.001165,0.000952,0.001106,0.001106,21778030
16-10-2017,0.001107,0.001254,0.000959,0.001023,0.001023,27435280
23-10-2017,0.001022,0.001237,0.000959,0.001173,0.001173,34674820
30-10-2017,0.001224,0.001242,0.00105,0.001182,0.001182,20671180
06-11-2017,0.001171,0.001431,0.001002,0.001038,0.001038,23803670
13-11-2017,0.001046,0.001424,0.001019,0.001376,0.001376,17272260
20-11-2017,0.001374,0.002246,0.001302,0.002026,0.002026,72844540
27-11-2017,0.001999,0.002581,0.00189,0.002223,0.002223,45487950
04-12-2017,0.002206,0.002858,0.002178,0.002547,0.002547,63863880
11-12-2017,0.002563,0.007628,0.002534,0.005984,0.005984,335636832
18-12-2017,0.005938,0.008948,0.004742,0.008582,0.008582,587622512
25-12-2017,0.008649,0.010729,0.007388,0.008972,0.008972,598169592
01-01-2018,0.009031,0.018773,0.008101,0.017088,0.017088,1099660896
08-01-2018,0.017115,0.017664,0.010987,0.011684,0.011684,692094900
15-01-2018,0.011631,0.011779,0.005499,0.007131,0.007131,322553100
22-01-2018,0.007199,0.007982,0.006228,0.007465,0.007465,121946500
29-01-2018,0.007401,0.007522,0.00331,0.004399,0.004399,123325800
05-02-2018,0.004397,0.005441,0.003036,0.004956,0.004956,93298480
12-02-2018,0.004964,0.007948,0.004964,0.006424,0.006424,169254900
19-02-2018,0.00641,0.008288,0.005997,0.006142,0.006142,224945400
26-02-2018,0.006169,0.006574,0.005164,0.005502,0.005502,109193100
05-03-2018,0.005462,0.005535,0.003618,0.00421,0.00421,94235880
12-03-2018,0.004207,0.004273,0.00279,0.00319,0.00319,52124980
19-03-2018,0.003199,0.003833,0.003144,0.003505,0.003505,40954640
26-03-2018,0.003498,0.003541,0.002595,0.002719,0.002719,34097330
02-04-2018,0.002731,0.003006,0.002614,0.002843,0.002843,31377170
09-04-2018,0.002855,0.004614,0.002724,0.004571,0.004571,97813250
16-04-2018,0.004588,0.005958,0.004391,0.005539,0.005539,154719500
23-04-2018,0.005545,0.005919,0.004896,0.005459,0.005459,262612200
30-04-2018,0.005405,0.005649,0.004725,0.00497,0.00497,226729500
07-05-2018,0.004966,0.005356,0.003918,0.004329,0.004329,209848100
14-05-2018,0.004499,0.004788,0.003755,0.004423,0.004423,104941530
21-05-2018,0.004397,0.004419,0.003248,0.003424,0.003424,74481630
28-05-2018,0.003433,0.00375,0.003168,0.00369,0.00369,64107810
04-06-2018,0.003691,0.003836,0.003151,0.003182,0.003182,87399900
11-06-2018,0.00318,0.003273,0.002778,0.002873,0.002873,55773570
18-06-2018,0.002916,0.00308,0.002331,0.00251,0.00251,48911430
25-06-2018,0.00249,0.002577,0.002293,0.002489,0.002489,37597580
02-07-2018,0.002486,0.002764,0.002429,0.002611,0.002611,33547070
09-07-2018,0.002612,0.002649,0.002187,0.00238,0.00238,39226200
16-07-2018,0.002366,0.004314,0.002366,0.003458,0.003458,138353900
23-07-2018,0.003468,0.003668,0.003284,0.003307,0.003307,53636320
30-07-2018,0.003313,0.003352,0.002733,0.002837,0.002837,78669000
06-08-2018,0.002872,0.002909,0.002345,0.002404,0.002404,36858320
13-08-2018,0.002407,0.002499,0.002143,0.002473,0.002473,38371300
20-08-2018,0.002464,0.002517,0.002288,0.002404,0.002404,23309750
27-08-2018,0.002404,0.006753,0.002387,0.004999,0.004999,457795520
03-09-2018,0.005026,0.005858,0.004665,0.005829,0.005829,291110200
10-09-2018,0.00584,0.006933,0.00584,0.006531,0.006531,352849300
17-09-2018,0.00654,0.006547,0.00536,0.005901,0.005901,179783100
24-09-2018,0.005904,0.006067,0.005587,0.005906,0.005906,105097100
01-10-2018,0.005901,0.006024,0.005483,0.005562,0.005562,99294490
08-10-2018,0.005573,0.005652,0.004901,0.005158,0.005158,75880180
15-10-2018,0.005153,0.005457,0.004273,0.004517,0.004517,109732160
22-10-2018,0.004508,0.004535,0.003676,0.004063,0.004063,104879600
29-10-2018,0.004048,0.004064,0.003676,0.003676,0.003676,78319900
05-11-2018,0.003664,0.003744,0.003092,0.003162,0.003162,94179130
12-11-2018,0.003164,0.003173,0.002511,0.002643,0.002643,110694200
19-11-2018,0.002641,0.002717,0.002073,0.00222,0.00222,113134800
26-11-2018,0.002218,0.002302,0.002006,0.002246,0.002246,81486087
03-12-2018,0.002247,0.002386,0.002031,0.002102,0.002102,139199687
10-12-2018,0.002098,0.002145,0.002045,0.002125,0.002125,114046329
17-12-2018,0.002125,0.002779,0.002119,0.002542,0.002542,192956960
24-12-2018,0.00255,0.002638,0.002304,0.002367,0.002367,133850993
31-12-2018,0.00237,0.002458,0.002274,0.002328,0.002328,126577955
07-01-2019,0.002328,0.002335,0.002083,0.002094,0.002094,124492134
14-01-2019,0.002102,0.002198,0.00208,0.002119,0.002119,106798089
21-01-2019,0.002106,0.002183,0.002009,0.002027,0.002027,115450216
28-01-2019,0.002026,0.002028,0.00189,0.001904,0.001904,102662880
